"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","CH4","Rum_meat_kcal_GHG","Dairy_kcal_GHG","All_feed_water","Plant_kcal_GHG","Yield","GHG_eff_CH4","rstand"
"2","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","CT2",150.4,15.8749179,0.620061598843916,0.642896570344756,0.480282940041975,1.09453552032751,0.424676804851153,0.157894736842105,0,1.51941141671662
"3","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","CT3",150.4,15.8749179,0.136518946713853,0.0466656900388491,0.418406796848447,0.0521204069654881,0.326936760584516,0.105263157894737,0,-1.45001535476327
"5","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","YG2",150.4,15.8749179,0.582156186254833,0.642896570344756,0.480282940041975,1.09453552032751,0.424676804851153,0.842105263157895,0,1.80221312306116
"6","Bajzelj et al. (2014)","2050","Bajzelj et al. (2014)","Agriculture","YG3",150.4,15.8749179,0.0792240420527004,0.0466656900388491,0.418406796848447,0.0521204069654881,0.326936760584516,0.815789473684211,0,-1.50875730775333
"170","Clark et al. (2020)","2045","Clark et al. (2020)","Food","Converge_2050+Diet Intensity Slider 100%+Medium_Fertility+Efficiency Slider 50%+Efficiency_Increased_020%+50% To Max Yields + 50% from BAU trends+Waste_Reduced_25%+Waste Slider 50%",122.489183017857,-12.0358990821429,-0.540000673442034,-0.462743775164068,0.577848024477967,-0.4876068938158,0.321527493171185,1.03301950769921,0.166666667,-2.64493484922275
"198","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Diet)",138.291935546794,3.76685344679376,-0.0733133493244861,-0.0847046423775345,-0.137056925731803,-0.0888663168409004,0.747332141530787,0,0,-2.1695635239095
"203","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+All)",138.291935546794,3.76685344679376,-0.285574929262986,-0.387725661361061,-0.422971799736326,-0.390096450666181,0.557994025442972,0.5,0,-1.83655586814174
"253","FAO (2018)","2035","FAO GAPS - ENVISAGE","Agriculture","TSS",145.34,10.8149179,0.0272167194736292,0.179120163343328,0.230992354448984,0.123370813046155,0.345042248768398,0.0557824409914942,0,-1.19511872360779
"255","FAO (2018)","2040","FAO GAPS - ENVISAGE","Agriculture","SSS",145.34,10.8149179,0.268158751130231,0.344443588737121,0.335862666622647,0.32212720611226,0.450344590837128,0.174689035581797,0,1.73391129503331
"256","FAO (2018)","2040","FAO GAPS - ENVISAGE","Agriculture","TSS",145.34,10.8149179,0.0174605445282646,0.207920681118149,0.26441613577848,0.142959994815128,0.400857956896317,0.0871835930221656,0,-1.73732583669008
